ID	lnL0	lnL1
ORTHOMCL3229	 -2834.540435	 -2834.540435
ORTHOMCL4636	 -2492.175105	 -2492.175105
ORTHOMCL1936	 -2997.256234	 -2997.256234
ORTHOMCL4356	 -4156.932149	 -4156.932149
ORTHOMCL9072	 -4815.099985	 -4815.099985
ORTHOMCL5357	 -1600.484593	 -1600.484593
ORTHOMCL1223	 -7773.004097	 -7773.728276
ORTHOMCL4509	 -1056.659867	 -1056.347259
ORTHOMCL9536	 -2374.601685	 -2374.601685
ORTHOMCL8703	 -2534.390138	 -2534.390138
ORTHOMCL9059	 -1369.840260	 -1369.964106
ORTHOMCL4590	 -2065.127774	 -2065.349174
ORTHOMCL5915	 -1218.325282	 -1218.350732
ORTHOMCL9398	 -1016.667981	 -1016.667982
ORTHOMCL5358	 -1794.376504	 -1794.467257
ORTHOMCL8474	  -855.751498	  -856.519987
ORTHOMCL8530	  -987.737406	  -987.737406
ORTHOMCL1263	 -1992.367604	 -1992.367604
ORTHOMCL9261	  -963.546737	  -964.244581
ORTHOMCL4433	 -1165.474270	 -1165.474270
ORTHOMCL10171	  -800.392840	  -800.392840
ORTHOMCL4842	 -1142.209075	 -1142.209075
ORTHOMCL4307	 -5592.787734	 -5592.787734
ORTHOMCL9218	  -733.051298	  -733.051299
ORTHOMCL11133	   -43.072941	   -43.107007
ORTHOMCL4088	  -626.382961	  -626.382961
ORTHOMCL2580	 -1595.924223	 -1595.924223
ORTHOMCL5972	 -1063.130957	 -1063.130957
ORTHOMCL5419	 -1774.468500	 -1774.468500
ORTHOMCL10252	 -1148.965873	 -1148.965873
ORTHOMCL774	 -1781.025270	 -1781.025270
ORTHOMCL3487	 -1310.736854	 -1310.749587
ORTHOMCL10040	 -2915.038601	 -2915.038601
ORTHOMCL3718	  -920.399390	  -920.399390
ORTHOMCL4494	 -1075.533922	 -1075.533922
ORTHOMCL10113	 -1848.450784	 -1848.450784
ORTHOMCL9699	 -1717.726576	 -1717.726576
ORTHOMCL9868	 -1931.426360	 -1933.717803
ORTHOMCL3791	  -787.502027	  -787.502027
ORTHOMCL5512	 -1254.056787	 -1254.056787
ORTHOMCL9533	 -2019.424315	 -2019.646793
ORTHOMCL9207	  -689.561294	  -689.888460
ORTHOMCL5388	  -714.967084	  -714.967084
ORTHOMCL3410	 -2610.013750	 -2610.013750
ORTHOMCL1666	  -867.715124	  -867.715124
ORTHOMCL3298	 -4502.713094	 -4502.713094
ORTHOMCL2443	 -2248.864075	 -2248.864073
ORTHOMCL4313	 -2114.026050	 -2114.025838
ORTHOMCL8484	 -2135.789095	 -2135.789090
ORTHOMCL2435	 -1042.265508	 -1042.265508
ORTHOMCL2780	 -6107.356539	 -6107.354628
ORTHOMCL7502	 -1777.555342	 -1777.555342
ORTHOMCL5842	 -1420.651554	 -1420.651554
ORTHOMCL10074	 -2987.891658	 -2987.891658
ORTHOMCL9921	 -2642.198718	 -2642.198718
ORTHOMCL5458	 -2833.179335	 -2833.179335
ORTHOMCL2549	 -2231.061016	 -2231.061016
ORTHOMCL4186	 -1342.894057	 -1342.894057
ORTHOMCL7603	 -1312.218720	 -1312.218720
ORTHOMCL5367	 -3254.398022	 -3254.398022
ORTHOMCL4924	  -789.300121	  -789.300121
ORTHOMCL5028	 -6318.007380	 -6318.007380
ORTHOMCL8473	 -2359.366736	 -2359.366736
ORTHOMCL1277	 -1339.331250	 -1339.331250
ORTHOMCL2696	 -4020.800287	 -4020.800287
ORTHOMCL3642	 -1242.635573	 -1242.635573
ORTHOMCL5890	 -2221.347751	 -2221.347751
ORTHOMCL2370	 -4696.087793	 -4696.087793
ORTHOMCL1678	 -3457.229389	 -3457.229389
ORTHOMCL4043	  -626.664063	  -626.664063
ORTHOMCL8870	 -6829.972622	 -6829.972621
ORTHOMCL4422	 -1982.568708	 -1982.568708
ORTHOMCL3326	  -938.800628	  -938.800628
ORTHOMCL3512	 -3614.590820	 -3617.756568
ORTHOMCL4469	 -6484.191044	 -6484.191044
ORTHOMCL1494	 -1606.752563	 -1606.752563
ORTHOMCL2728	 -1918.050274	 -1918.050274
ORTHOMCL9084	  -435.973262	  -435.973268
ORTHOMCL3021	 -2268.167804	 -2269.239436
ORTHOMCL7297	 -2696.644833	 -2696.644833
ORTHOMCL5033	 -6113.209869	 -6113.209869
ORTHOMCL3466	 -2178.127096	 -2178.127043
ORTHOMCL7118	 -5649.875858	 -5649.875858
ORTHOMCL3697	  -486.520319	  -486.520240
ORTHOMCL3688	 -3907.636908	 -3910.194813
ORTHOMCL1218	 -1914.277959	 -1914.277959
ORTHOMCL9994	 -2049.457698	 -2049.457698
ORTHOMCL10166	 -2523.327837	 -2523.327837
ORTHOMCL9897	  -745.378121	  -745.378121
ORTHOMCL7124	 -2357.855855	 -2358.113649
ORTHOMCL8622	 -2248.208393	 -2248.208388
ORTHOMCL1784	 -2429.679059	 -2429.679059
ORTHOMCL8415	 -3654.654347	 -3654.654347
ORTHOMCL2917	 -1408.577334	 -1408.577334
ORTHOMCL6133	 -3105.773036	 -3105.773036
ORTHOMCL9920	   -92.941261	   -92.941261
ORTHOMCL3542	 -6841.430183	 -6841.430183
ORTHOMCL8866	  -774.705541	  -774.705541
ORTHOMCL11205	  -762.405879	  -762.405879
ORTHOMCL2861	 -3860.222234	 -3860.222234
ORTHOMCL3402	  -814.729763	  -814.729763
ORTHOMCL143	 -9245.248806	 -9245.248806
ORTHOMCL6254	 -2346.674985	 -2346.674983
ORTHOMCL6272	 -3245.273774	 -3245.273774
ORTHOMCL6355	  -980.063626	  -981.328963
ORTHOMCL3694	 -1329.442373	 -1329.442373
ORTHOMCL1824	 -1389.655033	 -1389.655033
ORTHOMCL2398	 -1088.510326	 -1088.510326
ORTHOMCL9485	  -373.642565	  -373.642565
ORTHOMCL9144	  -505.494248	  -505.494248
ORTHOMCL9977	 -2102.074584	 -2102.074759
ORTHOMCL5866	  -988.257798	  -988.257798
ORTHOMCL4778	 -2605.342832	 -2605.342832
ORTHOMCL9141	  -596.954262	  -596.954262
ORTHOMCL9796	 -2088.801526	 -2088.801526
ORTHOMCL7813	 -3082.597099	 -3082.597099
ORTHOMCL5469	 -1296.364908	 -1296.364908
ORTHOMCL2541	 -1953.790930	 -1953.790930
ORTHOMCL9007	  -825.169709	  -825.169709
ORTHOMCL5937	  -680.865667	  -682.813497
ORTHOMCL3250	 -1734.244461	 -1734.244461
ORTHOMCL6172	 -2572.934786	 -2573.374495
ORTHOMCL9896	 -3364.240584	 -3364.240584
ORTHOMCL3963	  -488.423122	  -488.423122
ORTHOMCL6069	  -823.797049	  -823.797049
ORTHOMCL1633	 -2080.409140	 -2080.409140
ORTHOMCL9182	  -677.683029	  -677.683029
ORTHOMCL2111	 -2966.264732	 -2966.264735
ORTHOMCL9525	  -668.576966	  -668.705390
ORTHOMCL4448	 -2843.827266	 -2843.845912
ORTHOMCL1891	 -2168.794049	 -2168.795352
ORTHOMCL2948	 -1713.725721	 -1713.725721
ORTHOMCL9601	 -2926.146529	 -2926.163692
ORTHOMCL5826	 -1319.380345	 -1319.380345
ORTHOMCL2942	 -1014.710521	 -1014.710521
ORTHOMCL2332	  -950.215379	  -950.215379
ORTHOMCL3481	 -2251.187576	 -2251.187538
ORTHOMCL7316	 -1905.130551	 -1905.130551
ORTHOMCL3894	 -1627.908626	 -1627.908626
ORTHOMCL4238	 -7229.195869	 -7229.195869
ORTHOMCL3513	 -5830.953021	 -5830.953021
ORTHOMCL10131	 -4219.103322	 -4219.107046
ORTHOMCL9679	 -1538.748615	 -1538.853692
ORTHOMCL5762	 -1020.610855	 -1020.610855
ORTHOMCL4175	 -3685.472695	 -3685.472695
ORTHOMCL3624	 -12459.538404	 -12459.538403
ORTHOMCL5714	 -1215.776174	 -1215.776475
ORTHOMCL4537	 -2936.847967	 -2936.847953
ORTHOMCL8730	  -916.015040	  -916.015040
ORTHOMCL7057	 -1319.434228	 -1319.434228
ORTHOMCL3597	 -2174.529247	 -2174.529247
ORTHOMCL1926	 -1029.349149	 -1029.349149
ORTHOMCL5893	  -664.176390	  -664.176390
ORTHOMCL3899	 -1831.252503	 -1831.252503
ORTHOMCL3476	 -2563.916942	 -2563.916942
ORTHOMCL9791	 -4276.991944	 -4276.991944
ORTHOMCL9672	 -1336.836160	 -1336.836160
ORTHOMCL4579	 -2520.723109	 -2520.723109
ORTHOMCL2848	 -2680.203502	 -2681.161163
ORTHOMCL3737	 -6554.303576	 -6554.303576
ORTHOMCL3447	 -1284.023399	 -1284.023399
ORTHOMCL4284	  -751.065809	  -757.462441
ORTHOMCL8902	 -1027.192668	 -1027.192668
ORTHOMCL9479	 -1153.579819	 -1153.579819
ORTHOMCL10248	  -511.996515	  -511.996515
ORTHOMCL4465	  -650.972261	  -650.972261
ORTHOMCL9043	 -2537.161328	 -2537.161329
ORTHOMCL4725	 -3273.781509	 -3274.711394
ORTHOMCL2859	 -2605.959081	 -2605.959093
ORTHOMCL9610	 -1252.414929	 -1252.414929
ORTHOMCL6048	 -2309.876526	 -2309.876526
ORTHOMCL294	 -11560.786652	 -11560.786652
ORTHOMCL4344	 -2465.307244	 -2466.663770
ORTHOMCL6308	  -960.418014	  -960.418014
ORTHOMCL9313	  -910.259482	  -910.259482
ORTHOMCL9721	 -3180.205021	 -3180.209155
ORTHOMCL10147	 -1225.812519	 -1225.812519
ORTHOMCL1317	 -4304.381583	 -4304.381583
ORTHOMCL5756	  -972.971456	  -972.971456
ORTHOMCL7792	 -3698.312888	 -3698.516349
ORTHOMCL2967	 -2726.574651	 -2727.602141
ORTHOMCL9006	  -657.238172	  -658.010786
ORTHOMCL3975	 -2390.618846	 -2390.618846
ORTHOMCL2208	 -2056.550715	 -2056.550715
ORTHOMCL8917	 -1621.821362	 -1621.821362
ORTHOMCL9387	 -1161.600093	 -1161.006553
ORTHOMCL7161	  -835.310932	  -835.310932
ORTHOMCL1687	 -3188.547145	 -3188.547145
ORTHOMCL7760	 -1006.190850	 -1006.190850
ORTHOMCL1825	 -1434.690923	 -1434.690923
ORTHOMCL4502	 -3060.758673	 -3060.758673
ORTHOMCL1552	 -4046.177830	 -4046.227920
ORTHOMCL9037	 -2409.444929	 -2409.444929
ORTHOMCL1656	 -5888.285408	 -5888.285403
ORTHOMCL9186	  -656.481861	  -668.933771
ORTHOMCL9003	 -3038.774998	 -3038.775006
ORTHOMCL8662	 -1230.195668	 -1230.197765
ORTHOMCL9902	 -3893.622336	 -3893.638757
ORTHOMCL4871	 -2191.295160	 -2191.289786
ORTHOMCL5798	  -681.289435	  -681.289435
ORTHOMCL5519	 -2345.647117	 -2345.647117
ORTHOMCL5400	 -2542.592249	 -2542.592249
ORTHOMCL264	 -1142.136760	 -1142.126511
ORTHOMCL1566	 -3789.269736	 -3789.269736
ORTHOMCL6193	 -1073.429432	 -1073.429432
ORTHOMCL3636	 -4398.051519	 -4398.051519
ORTHOMCL3945	 -3014.707103	 -3014.709452
ORTHOMCL9475	 -2003.636957	 -2003.636958
ORTHOMCL3341	 -4017.532663	 -4017.532663
ORTHOMCL5748	 -1237.505309	 -1237.505302
ORTHOMCL9908	  -708.505406	  -710.211815
ORTHOMCL4381	 -1747.800866	 -1747.800866
ORTHOMCL9052	 -2346.527437	 -2346.527437
ORTHOMCL7064	 -8761.024841	 -8761.026111
ORTHOMCL4257	 -3165.946322	 -3165.946322
ORTHOMCL1284	 -1557.634694	 -1557.634694
ORTHOMCL5677	  -900.429550	  -900.429550
ORTHOMCL4453	  -262.688792	  -262.688792
ORTHOMCL5761	 -6649.118530	 -6649.624766
ORTHOMCL8793	 -2166.842222	 -2166.842222
ORTHOMCL3320	 -4641.966712	 -4641.966712
ORTHOMCL1957	 -2759.540560	 -2759.540560
ORTHOMCL3700	 -5583.435784	 -5584.563755
ORTHOMCL5369	  -893.590867	  -893.590867
ORTHOMCL9594	 -1687.763001	 -1687.822277
ORTHOMCL8992	 -1174.796989	 -1174.796989
ORTHOMCL3931	 -3498.400920	 -3498.400920
ORTHOMCL9358	 -2678.330589	 -2678.330589
ORTHOMCL10150	   -54.915248	   -54.305660
ORTHOMCL4558	  -917.794037	  -917.794037
ORTHOMCL2321	 -2394.648544	 -2394.648544
ORTHOMCL4320	 -2745.612185	 -2745.612185
ORTHOMCL4233	 -1197.007761	 -1197.007761
ORTHOMCL5792	  -841.986339	  -841.986339
ORTHOMCL9386	 -1022.770276	 -1022.770276
ORTHOMCL2239	 -1036.366445	 -1036.366445
ORTHOMCL4212	 -7739.913602	 -7739.976180
ORTHOMCL10204	 -1083.756350	 -1084.925759
ORTHOMCL2743	 -2006.524266	 -2006.524266
ORTHOMCL10014	 -1083.628511	 -1086.428639
ORTHOMCL6121	 -3004.554117	 -3004.554117
ORTHOMCL5572	 -3130.264751	 -3130.264751
ORTHOMCL4702	 -2272.413113	 -2272.413113
ORTHOMCL8684	 -2036.897276	 -2036.897276
ORTHOMCL4678	 -6986.549994	 -6986.549994
ORTHOMCL1663	 -5810.068150	 -5810.068147
ORTHOMCL1752	 -2132.950895	 -2132.950895
ORTHOMCL7327	 -2903.256596	 -2903.256596
ORTHOMCL11189	 -1687.244514	 -1687.557955
ORTHOMCL9345	 -2734.653688	 -2734.653688
ORTHOMCL3526	  -646.264345	  -646.265537
ORTHOMCL8702	  -609.869716	  -609.869716
ORTHOMCL3220	 -1378.088605	 -1378.088605
ORTHOMCL9329	 -5413.591814	 -5413.591814
ORTHOMCL1815	 -1708.186840	 -1708.186840
ORTHOMCL3738	  -891.838584	  -891.838584
ORTHOMCL4906	 -1008.363664	 -1008.363664
ORTHOMCL2397	 -3702.135126	 -3702.135126
ORTHOMCL4303	 -2054.162249	 -2055.465775
ORTHOMCL6184	 -1904.156680	 -1904.156680
ORTHOMCL3474	 -2801.324869	 -2804.040197
ORTHOMCL8962	 -1741.355532	 -1741.355532
ORTHOMCL2698	 -2225.845655	 -2226.317006
ORTHOMCL1387	 -1539.971913	 -1539.971913
ORTHOMCL3759	 -3174.490485	 -3174.490485
ORTHOMCL2806	 -1970.483738	 -1970.483738
ORTHOMCL4028	 -2030.705105	 -2030.705105
ORTHOMCL1553	 -2054.424991	 -2054.424991
ORTHOMCL6096	 -1778.381788	 -1778.554797
ORTHOMCL10226	 -2443.037511	 -2445.469330
ORTHOMCL9245	 -3198.597964	 -3198.597964
ORTHOMCL7736	  -937.249696	  -944.159891
ORTHOMCL2574	 -3288.327690	 -3288.327692
ORTHOMCL10009	 -1330.189760	 -1330.189760
ORTHOMCL3559	 -3694.855644	 -3694.855644
ORTHOMCL9224	 -1562.103637	 -1562.103637
ORTHOMCL5634	 -1128.152973	 -1128.152973
ORTHOMCL9831	 -1282.243163	 -1282.243163
ORTHOMCL1532	 -2587.034083	 -2587.034083
ORTHOMCL5516	 -1805.928360	 -1805.928360
ORTHOMCL8803	 -1546.249930	 -1546.249930
ORTHOMCL6366	 -1373.618922	 -1373.783326
ORTHOMCL7129	 -3386.976271	 -3388.473762
ORTHOMCL4258	 -5738.391345	 -5738.521962
ORTHOMCL2809	 -3212.369472	 -3212.369472
ORTHOMCL9480	 -4071.129346	 -4072.551269
ORTHOMCL9835	 -1632.311891	 -1632.311891
ORTHOMCL7745	 -4229.942423	 -4229.942423
ORTHOMCL3865	 -3650.816781	 -3655.326384
ORTHOMCL8732	 -2909.384026	 -2909.384026
ORTHOMCL3691	 -1109.277370	 -1109.277370
ORTHOMCL1331	 -1699.120405	 -1699.120405
ORTHOMCL9685	 -1084.312344	 -1084.316351
ORTHOMCL9300	 -1717.267526	 -1717.267526
ORTHOMCL3641	 -1878.334811	 -1878.334811
ORTHOMCL1775	 -2194.931597	 -2194.931597
ORTHOMCL2272	  -968.717052	  -968.717052
ORTHOMCL4424	 -4099.743787	 -4099.743787
ORTHOMCL5642	 -1802.470741	 -1802.512888
ORTHOMCL9046	 -2062.969576	 -2062.969578
ORTHOMCL7377	 -2366.370186	 -2366.370186
ORTHOMCL4171	 -1840.167691	 -1840.167691
ORTHOMCL1038	 -3652.264676	 -3653.728608
ORTHOMCL6156	  -670.649374	  -670.649374
ORTHOMCL2799	 -4131.729250	 -4131.729251
ORTHOMCL1050	 -2315.862747	 -2315.862747
ORTHOMCL2610	 -1322.343344	 -1322.343344
ORTHOMCL9103	 -1433.011407	 -1433.011407
ORTHOMCL4086	 -1016.227806	 -1016.227806
ORTHOMCL9725	 -4909.431672	 -4909.431672
ORTHOMCL9410	 -1903.121828	 -1903.015419
ORTHOMCL4723	 -1123.272466	 -1123.272466
ORTHOMCL7726	  -933.046111	  -933.046111
ORTHOMCL2709	 -3207.313003	 -3207.359548
ORTHOMCL1492	 -2660.273108	 -2660.273108
ORTHOMCL4003	 -1051.260429	 -1051.260429
ORTHOMCL4080	 -1990.980070	 -1990.980071
ORTHOMCL4286	 -2580.457834	 -2585.844438
ORTHOMCL4222	 -1584.568973	 -1584.592179
ORTHOMCL3285	  -586.685133	  -586.685134
ORTHOMCL7572	 -4992.838766	 -4992.838766
ORTHOMCL5804	 -2297.001058	 -2297.001059
ORTHOMCL808	 -2802.609638	 -2802.609638
ORTHOMCL3331	 -2565.962185	 -2565.962185
ORTHOMCL7035	  -618.695347	  -618.695347
ORTHOMCL7515	 -2917.234153	 -2917.234153
ORTHOMCL8626	  -700.681281	  -700.681281
ORTHOMCL2105	 -2096.781445	 -2096.782001
ORTHOMCL2437	 -1266.031805	 -1266.031805
ORTHOMCL5672	  -805.311327	  -805.311327
ORTHOMCL7805	 -2776.859717	 -2776.859717
ORTHOMCL4058	 -1854.710884	 -1857.032558
ORTHOMCL8492	 -2422.757247	 -2422.759088
ORTHOMCL7385	 -1726.232612	 -1731.307380
ORTHOMCL4932	 -4510.861796	 -4510.973116
ORTHOMCL2348	 -1594.276172	 -1594.276172
ORTHOMCL2921	 -1617.446383	 -1617.446383
ORTHOMCL2839	 -1414.141630	 -1414.141630
ORTHOMCL1080	 -2869.591141	 -2870.013040
ORTHOMCL3350	 -2646.627597	 -2646.627597
ORTHOMCL9428	 -1391.592403	 -1391.592403
ORTHOMCL10174	 -2035.185886	 -2036.368715
ORTHOMCL3712	 -2833.245886	 -2833.245886
ORTHOMCL7224	  -969.106685	  -969.106685
ORTHOMCL3701	 -2445.877270	 -2445.877271
ORTHOMCL4555	 -4900.977602	 -4901.104741
ORTHOMCL6262	 -2999.464442	 -2999.464442
ORTHOMCL5510	  -318.647944	  -318.647944
ORTHOMCL6119	 -1405.321543	 -1405.321543
ORTHOMCL9728	 -1577.558357	 -1577.558357
ORTHOMCL8545	 -1706.291314	 -1706.291314
ORTHOMCL2080	  -451.537549	  -451.537549
ORTHOMCL2101	 -1775.388156	 -1775.388156
ORTHOMCL10084	 -2930.581790	 -2930.581789
ORTHOMCL1018	  -986.609126	  -986.609126
ORTHOMCL9230	  -370.172409	  -370.172409
ORTHOMCL3807	 -1379.789433	 -1379.789433
ORTHOMCL9366	 -1797.492568	 -1797.492568
ORTHOMCL10137	 -2591.639829	 -2592.368429
ORTHOMCL4023	  -938.751371	  -938.751371
ORTHOMCL3772	  -523.965352	  -523.965351
ORTHOMCL9857	 -2468.488832	 -2468.488833
ORTHOMCL4530	 -5274.876635	 -5275.355919
ORTHOMCL4275	 -1746.885403	 -1746.885403
ORTHOMCL9134	  -849.816060	  -849.816060
ORTHOMCL9704	 -1126.533974	 -1126.533974
ORTHOMCL9618	 -1710.938174	 -1711.738772
ORTHOMCL1377	 -2148.869121	 -2148.869121
ORTHOMCL6329	   -77.031153	   -77.031133
ORTHOMCL7469	 -1365.501269	 -1365.501269
ORTHOMCL1924	 -5009.053801	 -5010.700391
ORTHOMCL6364	  -885.298048	  -885.298048
ORTHOMCL3860	 -2374.262716	 -2374.391662
ORTHOMCL2108	  -736.355641	  -736.355641
ORTHOMCL7424	 -2155.723283	 -2155.723225
ORTHOMCL2384	 -1280.218471	 -1280.218472
ORTHOMCL11790	 -1030.003485	 -1030.003485
ORTHOMCL10098	 -1521.611021	 -1522.893752
ORTHOMCL1594	 -2427.809552	 -2427.809552
ORTHOMCL7137	 -3579.149040	 -3579.149040
ORTHOMCL7517	 -1247.228453	 -1247.690731
ORTHOMCL950	 -1422.554779	 -1423.191250
ORTHOMCL3877	 -1039.024466	 -1039.747872
ORTHOMCL3927	 -1156.863101	 -1157.811253
ORTHOMCL5637	 -3946.250580	 -3946.250580
ORTHOMCL4919	 -5582.865531	 -5582.865531
ORTHOMCL5387	 -1855.571683	 -1855.571683
ORTHOMCL11981	 -1162.519243	 -1162.519243
ORTHOMCL5814	  -974.390922	  -974.390922
ORTHOMCL9020	 -2966.080548	 -2966.875796
